order_id,vendor_id,product_id,order_date,promised_delivery_date,actual_delivery_date,order_quantity,defective_quantity,order_value,transport_mode,delivery_city,delivery_state
5821823,781209,88434,2024-09-28,2024-10-02,2024-10-02,10000,500,523100,Rail,Ahmedabad,Gujarat
1604545,165878,40433,2024-11-17,2024-11-24,2024-11-29,10000,0,227100,Rail,Bhubaneswar,Odisha
3551573,690831,40433,2024-07-13,2024-07-19,2024-07-19,5000,0,269500,Air,Hyderabad,Telangana
8573898,301108,24395,2024-07-20,2024-07-26,2024-07-29,500,10,105555,Air,Kolkata,West Bengal
9674329,924197,21317,2024-11-17,2024-11-21,2024-11-28,2000,40,359480,Air,Indore,Madhya Pradesh
4636280,492904,78378,2025-02-22,2025-02-28,2025-03-03,2000,20,302160,Road,Kolkata,West Bengal
6132293,381632,88434,2025-03-06,2025-03-13,2025-03-20,1000,20,192630,Rail,Mumbai,Maharashtra
6795352,674253,67273,2024-01-01,2024-01-07,2024-01-09,1000,50,141820,Air,Surat,Gujarat
5392362,165878,67273,2024-11-25,2024-12-02,2024-12-05,5000,50,113550,Air,Bhubaneswar,Odisha
6356658,165878,21317,2025-04-29,2025-05-04,2025-05-11,500,10,11355,Air,Bhubaneswar,Odisha
3898429,547239,40433,2024-12-09,2024-12-13,2024-12-14,2000,20,466100,Road,Delhi,Delhi
2173441,512461,16209,2024-05-30,2024-06-03,2024-06-03,1000,50,215790,Air,Pune,Maharashtra
8970555,640867,21317,2024-03-15,2024-03-22,2024-03-25,10000,100,1758300,Air,Bhubaneswar,Odisha
8812144,302361,78378,2025-01-28,2025-02-04,2025-02-07,1000,10,138630,Air,Bhubaneswar,Odisha
3978286,736402,21317,2024-01-06,2024-01-10,2024-01-13,1000,10,73950,Air,Jaipur,Rajasthan
6050427,640867,89752,2025-06-14,2025-06-21,2025-06-21,10000,100,1758300,Road,Bhubaneswar,Odisha
7681679,853594,88434,2025-04-12,2025-04-17,2025-04-20,10000,200,1829900,Rail,Indore,Madhya Pradesh
2743202,720230,88434,2025-05-31,2025-06-07,2025-06-12,5000,50,202000,Air,Jaipur,Rajasthan
4461224,492904,88434,2025-05-01,2025-05-08,2025-05-10,1000,20,151080,Air,Kolkata,West Bengal
2465461,522606,78069,2025-05-11,2025-05-16,2025-05-18,5000,0,640300,Air,Jaipur,Rajasthan
7604754,307937,95673,2024-10-19,2024-10-24,2024-10-26,2000,40,433180,Air,Jaipur,Rajasthan
6720892,165878,88434,2024-03-23,2024-03-28,2024-03-29,1000,50,22710,Air,Bhubaneswar,Odisha
8660236,140937,78069,2024-06-05,2024-06-10,2024-06-10,5000,250,726550,Rail,Indore,Madhya Pradesh
2845569,938521,24395,2025-04-22,2025-04-29,2025-04-29,1000,50,146520,Rail,Vadodara,Gujarat
7076406,328815,24395,2024-01-21,2024-01-29,2024-02-01,5000,0,297100,Rail,Nagpur,Maharashtra
9529475,522606,78378,2024-11-01,2024-11-08,2024-11-11,10000,100,1280600,Rail,Jaipur,Rajasthan
2417194,562958,24395,2024-08-12,2024-08-18,2024-08-21,5000,0,426750,Rail,Chennai,Tamil Nadu
5865305,307937,67273,2024-12-10,2024-12-17,2024-12-24,1000,50,216590,Road,Jaipur,Rajasthan
2584501,360610,16209,2025-06-30,2025-07-04,2025-07-07,10000,0,1453200,Road,Delhi,Delhi
6551115,720230,40433,2025-03-14,2025-03-19,2025-03-22,1000,0,40400,Rail,Jaipur,Rajasthan
9402680,307937,78378,2025-01-23,2025-01-29,2025-01-30,5000,100,1082950,Rail,Jaipur,Rajasthan
4896943,360610,89752,2025-01-23,2025-01-29,2025-02-01,2000,0,290640,Rail,Delhi,Delhi
7163112,302361,88434,2024-01-20,2024-01-28,2024-01-28,2000,20,277260,Air,Bhubaneswar,Odisha
4422110,522606,78069,2024-03-11,2024-03-15,2024-03-15,1000,10,128060,Road,Jaipur,Rajasthan
2903462,674253,24395,2024-06-05,2024-06-10,2024-06-11,5000,0,709100,Air,Surat,Gujarat
9212604,853594,78378,2024-08-11,2024-08-18,2024-08-25,2000,40,365980,Road,Indore,Madhya Pradesh
6124276,187821,16209,2024-04-27,2024-05-02,2024-05-04,500,0,114085,Rail,Coimbatore,Tamil Nadu
1212171,736402,77830,2025-01-19,2025-01-26,2025-02-02,1000,0,73950,Air,Jaipur,Rajasthan
9703833,176588,95673,2024-09-05,2024-09-09,2024-09-16,2000,0,230680,Air,Coimbatore,Tamil Nadu
8251445,938521,67273,2024-02-12,2024-02-18,2024-02-23,5000,100,732600,Road,Vadodara,Gujarat
2352882,781209,21317,2025-06-02,2025-06-08,2025-06-08,5000,250,261550,Road,Ahmedabad,Gujarat
4804838,853594,67273,2025-03-19,2025-03-25,2025-04-01,5000,50,914950,Rail,Indore,Madhya Pradesh
7435309,853594,88434,2024-06-29,2024-07-07,2024-07-14,2000,100,365980,Rail,Indore,Madhya Pradesh
9216030,301108,95673,2025-03-22,2025-03-30,2025-04-01,2000,20,422220,Road,Kolkata,West Bengal
7349169,165878,24395,2024-10-12,2024-10-19,2024-10-20,5000,250,113550,Rail,Bhubaneswar,Odisha
9331019,307937,78378,2024-01-30,2024-02-06,2024-02-08,1000,50,216590,Road,Jaipur,Rajasthan
4016792,301108,24395,2024-12-29,2025-01-04,2025-01-06,2000,40,422220,Air,Kolkata,West Bengal
7625123,912391,21317,2024-01-11,2024-01-19,2024-01-20,500,5,84345,Air,Kolkata,West Bengal
4641029,674253,77830,2025-02-20,2025-02-27,2025-03-04,1000,50,141820,Air,Surat,Gujarat
4050308,492904,21317,2025-05-17,2025-05-24,2025-05-24,500,10,75540,Road,Kolkata,West Bengal
2088898,674253,77830,2025-02-18,2025-02-23,2025-02-25,10000,200,1418200,Rail,Surat,Gujarat
8381519,187821,89752,2025-06-27,2025-07-03,2025-07-06,10000,200,2281700,Rail,Coimbatore,Tamil Nadu
5830138,307937,24395,2025-04-09,2025-04-15,2025-04-17,2000,20,433180,Road,Jaipur,Rajasthan
5644904,853594,67273,2024-07-16,2024-07-22,2024-07-22,10000,100,1829900,Road,Indore,Madhya Pradesh
1740184,118675,78069,2024-08-09,2024-08-16,2024-08-18,10000,200,767200,Road,Surat,Gujarat
7300729,301108,77830,2024-07-17,2024-07-23,2024-07-24,2000,20,422220,Rail,Kolkata,West Bengal
9815157,938521,95673,2024-01-15,2024-01-23,2024-01-24,2000,0,293040,Road,Vadodara,Gujarat
2515795,176588,89752,2024-10-26,2024-10-31,2024-11-07,5000,0,576700,Road,Coimbatore,Tamil Nadu
4940542,313802,16209,2024-10-18,2024-10-25,2024-10-28,5000,100,356850,Road,Delhi,Delhi
3816841,512461,88434,2024-02-22,2024-02-28,2024-03-02,500,0,107895,Rail,Pune,Maharashtra
6239003,313802,82158,2025-05-18,2025-05-22,2025-05-27,500,5,35685,Road,Delhi,Delhi
8661342,924197,82158,2024-11-07,2024-11-11,2024-11-12,500,25,89870,Air,Indore,Madhya Pradesh
7877903,176588,78069,2024-08-19,2024-08-27,2024-08-30,5000,250,576700,Rail,Coimbatore,Tamil Nadu
2475227,363028,78378,2025-03-15,2025-03-21,2025-03-26,10000,0,770300,Air,Bhubaneswar,Odisha
4404053,140937,16209,2024-04-11,2024-04-16,2024-04-23,1000,20,145310,Air,Indore,Madhya Pradesh
6471486,562958,78378,2024-03-24,2024-03-29,2024-03-30,1000,0,85350,Road,Chennai,Tamil Nadu
3477614,640867,78069,2024-01-03,2024-01-10,2024-01-13,10000,500,1758300,Rail,Bhubaneswar,Odisha
7083037,363028,95673,2024-02-03,2024-02-08,2024-02-10,2000,100,154060,Road,Bhubaneswar,Odisha
3318401,512461,21317,2024-08-27,2024-09-02,2024-09-09,10000,100,2157900,Rail,Pune,Maharashtra
5639399,640867,21317,2024-04-27,2024-05-05,2024-05-06,1000,20,175830,Road,Bhubaneswar,Odisha
1655169,512461,67273,2024-03-14,2024-03-18,2024-03-19,2000,40,431580,Rail,Pune,Maharashtra
8757638,674253,40433,2024-05-07,2024-05-14,2024-05-21,2000,100,283640,Rail,Surat,Gujarat
2951156,140937,82158,2025-05-27,2025-06-04,2025-06-07,5000,0,726550,Air,Indore,Madhya Pradesh
3458234,640867,88434,2024-02-10,2024-02-17,2024-02-24,2000,40,351660,Road,Bhubaneswar,Odisha
1833596,781209,88434,2024-04-03,2024-04-08,2024-04-15,10000,0,523100,Air,Ahmedabad,Gujarat
2217207,140937,21317,2024-10-02,2024-10-10,2024-10-10,1000,50,145310,Air,Indore,Madhya Pradesh
1078286,118675,89752,2025-03-28,2025-04-03,2025-04-04,10000,500,767200,Air,Surat,Gujarat
5001595,547239,89752,2025-05-18,2025-05-22,2025-05-25,2000,100,466100,Rail,Delhi,Delhi
6183993,140937,78069,2024-11-24,2024-11-28,2024-11-29,2000,100,290620,Air,Indore,Madhya Pradesh
7311726,674253,77830,2025-05-22,2025-05-28,2025-06-04,5000,0,709100,Rail,Surat,Gujarat
5002876,302361,89752,2024-03-31,2024-04-06,2024-04-08,2000,0,277260,Rail,Bhubaneswar,Odisha
3884486,674253,67273,2025-06-10,2025-06-14,2025-06-21,10000,500,1418200,Rail,Surat,Gujarat
4500144,118675,82158,2024-02-25,2024-03-01,2024-03-06,2000,100,153440,Air,Surat,Gujarat
7231438,307937,16209,2025-03-28,2025-04-01,2025-04-02,2000,20,433180,Rail,Jaipur,Rajasthan
2024123,140937,88434,2025-03-24,2025-03-31,2025-03-31,500,5,72655,Air,Indore,Madhya Pradesh
7647896,307937,16209,2024-06-11,2024-06-17,2024-06-22,500,25,108295,Road,Jaipur,Rajasthan
6250544,176588,40433,2024-08-18,2024-08-22,2024-08-25,500,5,57670,Rail,Coimbatore,Tamil Nadu
2314369,360610,89752,2024-10-25,2024-11-02,2024-11-09,2000,100,290640,Rail,Delhi,Delhi
9801844,562958,67273,2025-04-28,2025-05-03,2025-05-06,10000,100,853500,Rail,Chennai,Tamil Nadu
9070933,363028,67273,2024-07-14,2024-07-22,2024-07-27,1000,0,77030,Rail,Bhubaneswar,Odisha
5433221,165878,78069,2025-02-28,2025-03-06,2025-03-11,2000,0,45420,Rail,Bhubaneswar,Odisha
3237510,522606,16209,2024-11-01,2024-11-09,2024-11-14,5000,50,640300,Rail,Jaipur,Rajasthan
1783347,562958,67273,2025-05-10,2025-05-16,2025-05-18,10000,500,853500,Rail,Chennai,Tamil Nadu
1184925,313802,88434,2024-11-25,2024-11-30,2024-12-07,1000,50,71370,Road,Delhi,Delhi
6498736,640867,67273,2025-02-24,2025-02-28,2025-03-02,5000,250,879150,Rail,Bhubaneswar,Odisha
7709981,924197,77830,2024-06-04,2024-06-11,2024-06-11,1000,20,179740,Road,Indore,Madhya Pradesh
9231883,360610,95673,2025-03-26,2025-03-30,2025-04-04,5000,0,726600,Air,Delhi,Delhi
7113062,924197,16209,2024-05-27,2024-06-03,2024-06-10,1000,0,179740,Rail,Indore,Madhya Pradesh
2799568,302361,67273,2024-09-28,2024-10-04,2024-10-09,5000,0,693150,Rail,Bhubaneswar,Odisha
4363358,690831,95673,2025-06-30,2025-07-07,2025-07-09,5000,0,269500,Air,Hyderabad,Telangana
5503269,853594,16209,2024-03-11,2024-03-16,2024-03-23,2000,20,365980,Air,Indore,Madhya Pradesh
2948547,363028,89752,2024-04-02,2024-04-09,2024-04-09,500,25,38515,Road,Bhubaneswar,Odisha
4258888,492904,77830,2024-11-02,2024-11-06,2024-11-06,2000,0,302160,Rail,Kolkata,West Bengal
7806584,381632,78069,2025-01-02,2025-01-08,2025-01-11,1000,10,192630,Air,Mumbai,Maharashtra
7824517,307937,95673,2025-02-25,2025-03-05,2025-03-12,1000,10,216590,Road,Jaipur,Rajasthan
4136377,165878,88434,2024-03-21,2024-03-29,2024-04-01,10000,100,227100,Rail,Bhubaneswar,Odisha
2582139,328815,40433,2024-05-26,2024-05-31,2024-06-03,2000,100,118840,Rail,Nagpur,Maharashtra
8991827,363028,78069,2024-01-10,2024-01-17,2024-01-19,10000,100,770300,Road,Bhubaneswar,Odisha
8082059,522606,82158,2025-03-28,2025-04-03,2025-04-08,2000,100,256120,Air,Jaipur,Rajasthan
5576755,690831,16209,2024-09-13,2024-09-20,2024-09-22,1000,50,53900,Rail,Hyderabad,Telangana
5190376,938521,95673,2024-04-19,2024-04-24,2024-04-27,10000,200,1465200,Air,Vadodara,Gujarat
6185000,512461,95673,2024-10-29,2024-11-04,2024-11-04,5000,100,1078950,Road,Pune,Maharashtra
2311929,720230,78378,2024-02-20,2024-02-28,2024-03-06,5000,100,202000,Road,Jaipur,Rajasthan
3303323,313802,78069,2024-12-26,2024-12-31,2025-01-07,1000,20,71370,Air,Delhi,Delhi
6115246,512461,77830,2024-05-20,2024-05-24,2024-05-31,500,10,107895,Rail,Pune,Maharashtra
1385635,328815,95673,2024-02-04,2024-02-12,2024-02-14,1000,0,59420,Rail,Nagpur,Maharashtra
8690884,938521,21317,2024-11-30,2024-12-07,2024-12-08,1000,10,146520,Air,Vadodara,Gujarat
6097313,363028,40433,2025-01-09,2025-01-17,2025-01-22,2000,20,154060,Rail,Bhubaneswar,Odisha
7424999,720230,89752,2025-05-08,2025-05-14,2025-05-21,2000,0,80800,Rail,Jaipur,Rajasthan
7026465,363028,67273,2024-03-18,2024-03-23,2024-03-24,5000,100,385150,Road,Bhubaneswar,Odisha
2377045,938521,89752,2025-02-08,2025-02-12,2025-02-14,10000,0,1465200,Rail,Vadodara,Gujarat
6248189,512461,78378,2025-01-12,2025-01-18,2025-01-23,5000,100,1078950,Road,Pune,Maharashtra
4477513,313802,89752,2024-08-27,2024-09-03,2024-09-03,10000,200,713700,Air,Delhi,Delhi
3408135,176588,21317,2024-08-14,2024-08-18,2024-08-25,5000,100,576700,Air,Coimbatore,Tamil Nadu
8466880,720230,78378,2025-02-22,2025-02-26,2025-02-27,500,0,20200,Rail,Jaipur,Rajasthan
9009786,301108,95673,2025-05-19,2025-05-23,2025-05-23,1000,10,211110,Rail,Kolkata,West Bengal
6859377,547239,16209,2025-04-09,2025-04-15,2025-04-22,10000,500,2330500,Air,Delhi,Delhi
8132003,360610,40433,2024-06-07,2024-06-14,2024-06-21,500,25,72660,Air,Delhi,Delhi
2838313,187821,89752,2025-02-21,2025-02-27,2025-02-27,2000,20,456340,Rail,Coimbatore,Tamil Nadu
6796520,690831,67273,2025-03-31,2025-04-05,2025-04-07,500,10,26950,Air,Hyderabad,Telangana
3838620,140937,40433,2025-01-02,2025-01-06,2025-01-09,2000,20,290620,Road,Indore,Madhya Pradesh
3287698,720230,21317,2025-04-10,2025-04-14,2025-04-21,1000,0,40400,Road,Jaipur,Rajasthan
6316636,522606,88434,2024-12-07,2024-12-12,2024-12-13,10000,100,1280600,Road,Jaipur,Rajasthan
5237280,912391,82158,2024-07-31,2024-08-08,2024-08-09,1000,20,168690,Road,Kolkata,West Bengal
1533747,924197,78069,2024-01-03,2024-01-09,2024-01-10,1000,20,179740,Road,Indore,Madhya Pradesh
2354490,781209,88434,2024-04-22,2024-04-26,2024-04-27,500,10,26155,Road,Ahmedabad,Gujarat
4933209,302361,77830,2024-11-27,2024-12-01,2024-12-02,2000,0,277260,Road,Bhubaneswar,Odisha
8048230,307937,82158,2025-03-07,2025-03-15,2025-03-15,500,25,108295,Rail,Jaipur,Rajasthan
4769636,938521,95673,2025-01-05,2025-01-13,2025-01-18,500,25,73260,Air,Vadodara,Gujarat
3336104,853594,95673,2024-08-14,2024-08-22,2024-08-22,10000,200,1829900,Rail,Indore,Madhya Pradesh
7905253,140937,82158,2024-02-01,2024-02-05,2024-02-08,5000,250,726550,Air,Indore,Madhya Pradesh
2655943,781209,82158,2024-04-20,2024-04-27,2024-05-04,5000,0,261550,Road,Ahmedabad,Gujarat
7172410,736402,67273,2024-11-25,2024-12-03,2024-12-04,500,5,36975,Rail,Jaipur,Rajasthan
4369023,547239,95673,2024-11-28,2024-12-05,2024-12-10,10000,200,2330500,Rail,Delhi,Delhi
4867064,381632,78378,2025-06-01,2025-06-09,2025-06-12,500,0,96315,Air,Mumbai,Maharashtra
6436902,853594,89752,2024-08-08,2024-08-15,2024-08-18,1000,50,182990,Rail,Indore,Madhya Pradesh
8307616,381632,77830,2025-04-09,2025-04-16,2025-04-19,500,10,96315,Rail,Mumbai,Maharashtra
1404473,522606,77830,2024-11-16,2024-11-22,2024-11-24,1000,50,128060,Road,Jaipur,Rajasthan
6661252,118675,82158,2024-04-03,2024-04-07,2024-04-07,5000,0,383600,Air,Surat,Gujarat
3750379,562958,89752,2025-01-16,2025-01-21,2025-01-26,500,10,42675,Air,Chennai,Tamil Nadu
5408736,562958,24395,2024-05-05,2024-05-12,2024-05-14,5000,0,426750,Rail,Chennai,Tamil Nadu
9684881,313802,88434,2024-11-15,2024-11-21,2024-11-21,10000,100,713700,Road,Delhi,Delhi
9075659,781209,40433,2025-05-08,2025-05-13,2025-05-13,2000,40,104620,Road,Ahmedabad,Gujarat
9454833,736402,40433,2024-10-12,2024-10-20,2024-10-21,5000,0,369750,Air,Jaipur,Rajasthan
3318667,118675,89752,2024-09-30,2024-10-04,2024-10-05,2000,40,153440,Rail,Surat,Gujarat
6107870,781209,89752,2024-12-25,2024-12-29,2024-12-30,1000,50,52310,Road,Ahmedabad,Gujarat
6577115,938521,77830,2024-05-25,2024-05-29,2024-05-29,10000,100,1465200,Rail,Vadodara,Gujarat
2710988,165878,89752,2025-03-05,2025-03-12,2025-03-14,1000,20,22710,Rail,Bhubaneswar,Odisha
1881364,938521,77830,2024-11-28,2024-12-06,2024-12-11,500,0,73260,Road,Vadodara,Gujarat
8200539,118675,89752,2024-06-10,2024-06-18,2024-06-18,500,10,38360,Rail,Surat,Gujarat
3315498,640867,78378,2025-03-10,2025-03-17,2025-03-22,5000,250,879150,Rail,Bhubaneswar,Odisha
3422861,165878,77830,2024-08-08,2024-08-16,2024-08-16,2000,100,45420,Road,Bhubaneswar,Odisha
3933041,547239,82158,2024-10-17,2024-10-25,2024-10-28,10000,200,2330500,Road,Delhi,Delhi
6839160,512461,16209,2024-08-13,2024-08-20,2024-08-25,500,0,107895,Road,Pune,Maharashtra
3014523,562958,77830,2024-11-04,2024-11-09,2024-11-10,2000,40,170700,Rail,Chennai,Tamil Nadu
6193691,853594,95673,2024-05-02,2024-05-06,2024-05-09,5000,50,914950,Road,Indore,Madhya Pradesh
9190437,176588,82158,2025-01-24,2025-02-01,2025-02-08,1000,20,115340,Road,Coimbatore,Tamil Nadu
9454682,492904,77830,2025-02-10,2025-02-14,2025-02-17,500,25,75540,Road,Kolkata,West Bengal
5927465,176588,40433,2024-11-16,2024-11-24,2024-11-27,10000,500,1153400,Air,Coimbatore,Tamil Nadu
2664751,674253,78378,2025-03-03,2025-03-09,2025-03-09,5000,0,709100,Rail,Surat,Gujarat
5959638,938521,24395,2024-06-24,2024-07-02,2024-07-05,2000,0,293040,Rail,Vadodara,Gujarat
9984794,492904,78069,2024-04-18,2024-04-23,2024-04-26,10000,500,1510800,Air,Kolkata,West Bengal
6321486,118675,77830,2024-03-21,2024-03-28,2024-03-30,2000,20,153440,Rail,Surat,Gujarat
8547138,781209,16209,2024-06-21,2024-06-25,2024-06-30,500,5,26155,Rail,Ahmedabad,Gujarat
3058484,938521,78069,2024-12-25,2024-12-30,2024-12-31,500,5,73260,Rail,Vadodara,Gujarat
9308367,360610,67273,2024-07-21,2024-07-26,2024-07-31,1000,0,145320,Road,Delhi,Delhi
1079961,781209,88434,2025-05-20,2025-05-27,2025-06-01,10000,500,523100,Air,Ahmedabad,Gujarat
9658791,736402,24395,2024-11-26,2024-12-02,2024-12-03,5000,0,369750,Rail,Jaipur,Rajasthan
2877222,912391,82158,2025-03-28,2025-04-03,2025-04-05,10000,0,1686900,Rail,Kolkata,West Bengal
8966617,328815,77830,2025-06-03,2025-06-07,2025-06-09,5000,250,297100,Road,Nagpur,Maharashtra
8346702,328815,21317,2024-02-28,2024-03-05,2024-03-07,500,0,29710,Air,Nagpur,Maharashtra
2722143,301108,82158,2025-06-03,2025-06-10,2025-06-13,10000,0,2111100,Rail,Kolkata,West Bengal
9498465,381632,40433,2024-07-11,2024-07-17,2024-07-22,5000,50,963150,Road,Mumbai,Maharashtra
9989196,360610,88434,2025-04-06,2025-04-10,2025-04-12,500,5,72660,Road,Delhi,Delhi
3092329,522606,82158,2024-09-10,2024-09-17,2024-09-20,10000,100,1280600,Rail,Jaipur,Rajasthan
2165713,522606,88434,2025-01-16,2025-01-22,2025-01-25,5000,100,640300,Air,Jaipur,Rajasthan
8475271,360610,24395,2024-02-23,2024-02-29,2024-02-29,2000,0,290640,Air,Delhi,Delhi
8463868,381632,78069,2025-01-30,2025-02-05,2025-02-07,10000,100,1926300,Rail,Mumbai,Maharashtra
5887888,363028,67273,2024-03-24,2024-04-01,2024-04-08,1000,20,77030,Rail,Bhubaneswar,Odisha
1222191,736402,78378,2025-02-05,2025-02-10,2025-02-15,500,10,36975,Air,Jaipur,Rajasthan
1646538,360610,21317,2025-01-20,2025-01-26,2025-01-27,10000,0,1453200,Air,Delhi,Delhi
1688766,938521,16209,2025-03-09,2025-03-17,2025-03-19,500,10,73260,Rail,Vadodara,Gujarat
2480295,938521,88434,2024-07-03,2024-07-08,2024-07-10,5000,50,732600,Road,Vadodara,Gujarat
3845712,674253,21317,2024-05-20,2024-05-25,2024-05-25,2000,0,283640,Air,Surat,Gujarat
1901205,924197,77830,2025-06-23,2025-06-27,2025-07-04,2000,20,359480,Air,Indore,Madhya Pradesh
4515525,492904,77830,2025-01-20,2025-01-25,2025-01-26,1000,10,151080,Air,Kolkata,West Bengal
5708506,690831,16209,2025-03-24,2025-03-28,2025-03-31,2000,20,107800,Rail,Hyderabad,Telangana
8190096,363028,77830,2024-10-18,2024-10-25,2024-10-26,10000,100,770300,Rail,Bhubaneswar,Odisha
3097217,307937,78069,2025-04-25,2025-04-30,2025-05-02,10000,500,2165900,Rail,Jaipur,Rajasthan
9501612,674253,40433,2024-10-15,2024-10-22,2024-10-27,10000,500,1418200,Road,Surat,Gujarat
6479642,720230,88434,2024-07-23,2024-07-31,2024-08-01,2000,0,80800,Air,Jaipur,Rajasthan
4061481,140937,67273,2025-05-07,2025-05-13,2025-05-18,500,0,72655,Rail,Indore,Madhya Pradesh
3593020,328815,88434,2024-03-26,2024-03-31,2024-04-02,5000,50,297100,Rail,Nagpur,Maharashtra
5516716,360610,78069,2024-04-03,2024-04-08,2024-04-11,2000,0,290640,Rail,Delhi,Delhi
8977726,381632,78378,2024-02-24,2024-03-02,2024-03-07,2000,20,385260,Rail,Mumbai,Maharashtra
8314265,736402,16209,2024-03-24,2024-03-30,2024-03-31,500,10,36975,Road,Jaipur,Rajasthan
1123571,547239,21317,2024-12-09,2024-12-14,2024-12-15,500,10,116525,Rail,Delhi,Delhi
6851431,853594,77830,2024-05-22,2024-05-29,2024-06-01,10000,0,1829900,Road,Indore,Madhya Pradesh
3186789,736402,88434,2024-01-20,2024-01-26,2024-01-27,1000,50,73950,Road,Jaipur,Rajasthan
9406483,176588,24395,2024-10-22,2024-10-27,2024-10-29,500,0,57670,Road,Coimbatore,Tamil Nadu
8991197,328815,40433,2025-03-05,2025-03-13,2025-03-16,500,0,29710,Rail,Nagpur,Maharashtra
